Name,Team,Opp,Score,Rec,Yds,Avg,TD,FUM
Harry Douglas,TEN,vs IND,L  33-35,3,20,6.7,0,0
Ryan Mathews,PHI,@ NYJ,W  24-17,2,20,10.0,1,1
Ameer Abdullah,DET,vs DEN,L  12-24,2,19,9.5,1,0
Nick Boyle,BAL,vs CIN,L  24-28,2,19,9.5,0,0
Ed Dickson,CAR,vs NO,W  27-22,2,19,9.5,0,0
Jonathan Grimes,HOU,vs TB,W  19-9,4,19,4.8,0,0
Darrius Heyward-Bey,PIT,@,W  12-6,3,19,6.3,0,0
Darren Sproles,PHI,@ NYJ,W  24-17,4,19,4.8,0,0
James Starks,GB,vs KC,W  38-28,1,19,19.0,0,0
Benny Cunningham,,vs PIT,L  6-12,2,18,9.0,0,0
Andrew Hawkins,CLE,vs OAK,L  20-27,2,18,9.0,0,0
Brandon Myers,TB,@ HOU,L  9-19,3,18,6.0,0,0
Joseph Randle,DAL,vs ATL,L  28-39,2,18,9.0,0,0
Andre Roberts,WAS,@ NYG,L  21-32,1,18,18.0,0,0
Heath Miller,PIT,@,W  12-6,2,17,8.5,0,0
Eddie Royal,CHI,@ SEA,L  0-26,3,17,5.7,0,0
Anquan Boldin,SF,@ ARI,L  7-47,2,16,8.0,0,0
Jordan Cameron,MIA,vs BUF,L  14-41,3,16,5.3,0,0
Chris Conley,KC,@ GB,L  28-38,1,16,16.0,0,0
Justin Forsett,BAL,vs CIN,L  24-28,4,16,4.0,0,0
David Johnson,ARI,vs SF,W  47-7,3,16,5.3,0,0
Adam Thielen,MIN,vs,W  31-14,2,16,8.0,0,0
Markus Wheaton,PIT,@,W  12-6,2,16,8.0,0,0
Martellus Bennett,CHI,@ SEA,L  0-26,4,15,3.8,0,0
Tre Mason,,vs PIT,L  6-12,1,15,15.0,0,0
Marlon Moore,CLE,vs OAK,L  20-27,1,15,15.0,0,0
Richard Rodgers,GB,vs KC,W  38-28,2,15,7.5,0,0
LeGarrette Blount,NE,vs,W  51-17,1,14,14.0,0,0
Devin Funchess,CAR,vs NO,W  27-22,1,14,14.0,0,0
Ty Montgomery,GB,vs KC,W  38-28,2,14,7.0,1,0
Andrew Quarless,GB,vs KC,W  38-28,2,14,7.0,0,0
Kyle Rudolph,MIN,vs,W  31-14,2,14,7.0,0,0
Fozzy Whittaker,CAR,vs NO,W  27-22,1,14,14.0,0,0
Brenton Bersin,CAR,vs NO,W  27-22,1,13,13.0,0,0
Darren Fells,ARI,vs SF,W  47-7,1,13,13.0,0,0
Marqise Lee,,@ NE,L  17-51,1,13,13.0,0,0
Jake Stoneburner,MIA,vs BUF,L  14-41,1,13,13.0,0,0
Antonio Andrews,TEN,vs IND,L  33-35,1,12,12.0,0,0
Michael Floyd,ARI,vs SF,W  47-7,1,12,12.0,0,0
Roy Helu,OAK,@ CLE,W  27-20,1,12,12.0,0,0
Lance Kendricks,,vs PIT,L  6-12,2,12,6.0,0,0
De'Anthony Thomas,KC,@ GB,L  28-38,2,12,6.0,0,0
Michael Campanaro,BAL,vs CIN,L  24-28,2,11,5.5,0,0
Kyle Juszczyk,BAL,vs CIN,L  24-28,2,11,5.5,0,0
Jeff Cumberland,NYJ,vs PHI,L  17-24,2,10,5.0,0,0
Josh Hill,NO,@ CAR,L  22-27,1,10,10.0,0,0
Carlos Hyde,SF,@ ARI,L  7-47,1,10,10.0,0,0
Greg Jennings,MIA,vs BUF,L  14-41,1,10,10.0,0,0
LeSean McCoy,BUF,@ MIA,W  41-14,1,10,10.0,1,0
Lance Moore,DET,vs DEN,L  12-24,2,10,5.0,0,0
Latavius Murray,OAK,@ CLE,W  27-20,1,10,10.0,0,0
Jacquizz Rodgers,CHI,@ SEA,L  0-26,1,10,10.0,0,0
C.J. Anderson,DEN,@ DET,W  24-12,1,9,9.0,0,0
Brandon Coleman,NO,@ CAR,L  22-27,1,9,9.0,0,0
Garrett Graham,HOU,vs TB,W  19-9,1,9,9.0,0,0
Ryan Grant,WAS,@ NYG,L  21-32,2,9,4.5,0,0
Fred Jackson,SEA,vs CHI,W  26-0,2,9,4.5,0,0
Charles Johnson,MIN,vs,W  31-14,1,9,9.0,0,0
Marshawn Lynch,SEA,vs CHI,W  26-0,1,9,9.0,0,0
T.J. Yeldon,,@ NE,L  17-51,2,9,4.5,0,0
Jason Avant,KC,@ GB,L  28-38,2,8,4.0,0,0
Frank Gore,IND,@ TEN,W  35-33,1,8,8.0,0,0
Corey Grant,,@ NE,L  17-51,1,8,8.0,0,0
Khiry Robinson,NO,@ CAR,L  22-27,2,8,4.0,0,0
Lee Smith,OAK,@ CLE,W  27-20,1,8,8.0,0,0
Jacob Tamme,ATL,@ DAL,W  39-28,1,8,8.0,0,0
Jared Cook,,vs PIT,L  6-12,1,7,7.0,0,0
Quinton Patton,SF,@ ARI,L  7-47,1,7,7.0,0,0
Lorenzo Taliaferro,BAL,vs CIN,L  24-28,1,6,6.0,0,0
Levine Toilolo,ATL,@ DAL,W  39-28,1,6,6.0,0,0
Nick Williams,ATL,@ DAL,W  39-28,1,6,6.0,0,0
Matt Asiata,MIN,vs,W  31-14,2,5,2.5,0,0
Mike Davis,SF,@ ARI,L  7-47,1,5,5.0,0,0
Aaron Dobson,NE,vs,W  51-17,1,5,5.0,0,0
Todd Gurley,,vs PIT,L  6-12,1,5,5.0,0,0
Damien Williams,MIA,vs BUF,L  14-41,1,5,5.0,0,0
Patrick DiMarco,ATL,@ DAL,W  39-28,1,4,4.0,0,0
Ronnie Hillman,DEN,@ DET,W  24-12,1,3,3.0,0,0
Andre Holmes,OAK,@ CLE,W  27-20,1,3,3.0,1,0
Bernard Pierce,,@ NE,L  17-51,2,3,1.5,0,0
Andre Caldwell,DEN,@ DET,W  24-12,1,2,2.0,0,0
Shaun Draughn,CLE,vs OAK,L  20-27,1,2,2.0,0,0
Davante Adams,GB,vs KC,W  38-28,0,0,0.0,0,0
Nelson Agholor,PHI,@ NYJ,W  24-17,0,0,0.0,0,0
Kamar Aiken,BAL,vs CIN,L  24-28,0,0,0.0,0,0
Miles Austin,PHI,@ NYJ,W  24-17,0,0,0.0,0,0
Stedman Bailey,,vs PIT,L  6-12,0,0,0.0,0,0
Blake Bell,SF,@ ARI,L  7-47,1,0,0.0,0,0
Josh Bellamy,CHI,@ SEA,L  0-26,0,0,0.0,0,0
Derek Carrier,WAS,@ NYG,L  21-32,0,0,0.0,0,0
Vernon Davis,SF,@ ARI,L  7-47,0,0,0.0,0,0
Tyler Eifert,CIN,@ BAL,W  28-24,0,0,0.0,0,0
Matt Forte,CHI,@ SEA,L  0-26,0,0,0.0,0,0
Melvin Gordon,,@ MIN,L  14-31,0,0,0.0,0,0
Cory Harkey,,vs PIT,L  6-12,0,0,0.0,0,0
Dwayne Harris,NYG,vs WAS,W  32-21,0,0,0.0,0,0
Demetrius Harris,KC,@ GB,L  28-38,0,0,0.0,0,0
Cooper Helfet,SEA,vs CHI,W  26-0,0,0,0.0,0,0
Rob Housler,CLE,vs OAK,L  20-27,0,0,0.0,0,0
Jeff Janis,GB,vs KC,W  38-28,0,0,0.0,0,0
Andre Johnson,IND,@ TEN,W  35-33,0,0,0.0,0,0
Marcedes Lewis,,@ NE,L  17-51,0,0,0.0,0,0
Tyler Lockett,SEA,vs CHI,W  26-0,0,0,0.0,0,0
Chris Matthews,SEA,vs CHI,W  26-0,0,0,0.0,0,0
Jerick McKinnon,MIN,vs,W  31-14,0,0,0.0,0,0
Branden Oliver,,@ MIN,L  14-31,0,0,0.0,0,0
Jay Prosch,HOU,vs TB,W  19-9,0,0,0.0,0,0
MyCole Pruitt,MIN,vs,W  31-14,0,0,0.0,0,0
Thomas Rawls,SEA,vs CHI,W  26-0,0,0,0.0,0,0
Mychal Rivera,OAK,@ CLE,W  27-20,0,0,0.0,0,0
Russell Shepard,TB,@ HOU,L  9-19,0,0,0.0,0,0
Torrey Smith,SF,@ ARI,L  7-47,0,0,0.0,0,0
Jonathan Stewart,CAR,vs NO,W  27-22,0,0,0.0,0,0
Kenny Stills,MIA,vs BUF,L  14-41,0,0,0.0,0,0
Tyler Varga,IND,@ TEN,W  35-33,0,0,0.0,0,0
Shane Vereen,NYG,vs WAS,W  32-21,0,0,0.0,0,0
Charcandrick West,KC,@ GB,L  28-38,0,0,0.0,0,0
Terrance Williams,DAL,vs ATL,L  28-39,0,0,0.0,0,0
Albert Wilson,KC,@ GB,L  28-38,0,0,0.0,0,0
Marquess Wilson,CHI,@ SEA,L  0-26,0,0,0.0,0,0
Chandler Worthy,HOU,vs TB,W  19-9,1,-1,-1.0,0,0
Joique Bell,DET,vs DEN,L  12-24,1,-2,-2.0,0,0
Zac Stacy,NYJ,vs PHI,L  17-24,2,-2,-1.0,0,0
Matthew Stafford,DET,vs DEN,L  12-24,1,-6,-6.0,0,1
